,0
dish_1557937574,"{ingredients: [lettuce, tomatoes, cucumber]}"
dish_1558720097,"{ingredients: Carrots, butter, vinegar, maple syrup}"
dish_1560975628,"{ingredients: ounces of chicken breast diced, tablespoons of mayonnaise, ounces of kalamata olives, ounces of cherry tomatoes, ounces of mozzarella cheese, ounces of foccacia flatbread, ounces of oregano, ounces of marinated peppers, teaspoons of dill, red-onion}"
dish_1563551194,"{ingredients: Eggs, Toasted Bread, Oatmeal, Banana, Red Berries, Brown sugar}"
dish_1558110385,"{ingredients: plate, eggs}"
dish_1558635523,{ingredients: white rice}
dish_1558376874,"{ingredients: [Almonds, dark chocolate, granola, cranberries]}"
dish_1561654374,"{ingredients: [scrambled eggs, mixed greens, brussels sprouts]}"
dish_1561574394,Error
dish_1562085672,{ingredients: bread and butter}
dish_1562788568,"{ingredients: brown rice, pepper, corn, fish, garlic, arugula}"
dish_1563996509,"{ingredients: photographed leaves of arugula, previously boiled cauliflower pieces, slices of medium-rare chicken, vine tomatoes and cubed potatoes, served on a square white plate}"
dish_1565035746,Error
dish_1566502573,"{ingredients: chicken, chickpeas, spinach, red onion, corn, avocado, and perhaps seasonings such as bacon bits and parmesan}"
dish_1561393715,"{ingredients: broccoli, lemon, olive oil, salt, and fashion-inspirational elements involving flowers and stones}"
dish_1562617703,"{ingredients: banana, banana, caramel}"
dish_1558461431,{ingredients: [spinach]}
dish_1566849895,{ingredients: shredded carrots}
dish_1562618000,"{ingredients: brown rice, chicken, spinach, lettuce, onions, broccoli, red onions}"
dish_1565020867,"{ingredients: crumbled feta, raspberries, blackberries, sweet potatoes, and a crispy bacon}"
dish_1559841950,{ingredients: broccoli}
dish_1560801829,Error
dish_1558373074,{ingredients: apple}
dish_1561577947,"{ingredients: arugula, pasta, cherry tomato, spinach, chicken tilapia, walnuts, olive oil, possibly onions and garlic}"
dish_1559850283,{ingredients: brown almonds}
dish_1558030182,{ingredients: potato}
dish_1557937037,{ingredients: raspberries}
dish_1558375886,"{ingredients: almonds, red and green grape tomatoes, sausage}"
dish_1559233445,{ingredients: pineapple}
dish_1563389600,"{ingredients: [chicken, tomatoes]}"
dish_1558719994,{ingredients: almonds}
dish_1561661377,"{ingredients: Fish with a brown sauce and grains, green beans, and lettuce salad}"
dish_1560526530,"{ingredients: Mixed leaf salad, sliced tomatoes, red onion, pineapple, roasted potato, and vegetarian sausage}"
dish_1564687013,"{ingredients: beef, onion, garlic, tomato puree, eggplant, green chill, fenugreek leaf, black pepper, salt, oil, tomato}"
dish_1562099053,"{ingredients: [water, matzah, margarine]}"
dish_1558549413,{ingredients: almonds}
dish_1563898019,"{ingredients: [scrambled eggs, bacon, and what appears to be hummus or some other dip]}"
dish_1558114209,{ingredients: melon}
dish_1558030435,"{ingredients: melon, potato, bacon}"
